Date	Open	High	Low	Close	Volume						
	89.17936300606759		1.1682020906672541		1.1682020906672541		1.1682020906672541		1.1682020906672541		89.17936300606759
	0		1.1682020906672541		1.1682020906672541		1.1682020906672541		1.1682020906672541		0
	0		1.1682020906672541		1.1682020906672541		1.1682020906672541		1.1682020906672541		0
	0		1.1682020906672541		1.1682020906672541		1.1682020906672541		1.1682020906672541		0
	0		1.1682020906672541		1.1682020906672541		1.1682020906672541		1.1682020906672541		0
	0		1.1682020906672541		1.1682020906672541		1.1682020906672541		1.1682020906672541		0
	733.7628415773444		1.1682020906672541		1.1845742215008355		1.1682020906672541		1.1845742215008355		733.7628415773444
	0		1.1845742215008355		1.1845742215008355		1.1845742215008355		1.1845742215008355		0
	0		1.1845742215008355		1.1845742215008355		1.1845742215008355		1.1845742215008355		0
	0		1.1845742215008355		1.1845742215008355		1.1845742215008355		1.1845742215008355		0
